anio,departamento/sede,tipo,valor
2018,NECOCHEA,Total Resueltas,804
2018,PERGAMINO,Total Resueltas,1537
2018,QUILMES,Total Resueltas,5913
2018,SAN ISIDRO,Total Resueltas,10930
2018,SAN MARTIN,Total Resueltas,9430
2018,SAN NICOLAS,Total Resueltas,2415
2018,TRENQUE LAUQUEN,Total Resueltas,422
2018,ZARATE-CAMPANA,Total Resueltas,1766
2019,AZUL,Ingresadas,1691
2019,AZUL Sede OLAVARRIA,Ingresadas,1759
2019,AZUL Sede TANDIL,Ingresadas,2179
2019,BAHIA BLANCA,Ingresadas,6331
2019,BAHIA BLANCA Sede TRES ARROYOS,Ingresadas,1433
2019,DOLORES,Ingresadas,2977
2019,JUNIN,Ingresadas,4034
2019,LA MATANZA,Ingresadas,16842
2019,LA PLATA,Ingresadas,24857
2019,LOMAS DE ZAMORA,Ingresadas,25608
2019,LOMAS DE ZAMORA Sede AVELLANEDA,Ingresadas,19848
2019,LOMAS DE ZAMORA Sede LANUS,Ingresadas,20121
2019,MAR DEL PLATA,Ingresadas,16027
2019,MERCEDES,Ingresadas,5947
2019,MORENO-GRAL.RODRIGUEZ,Ingresadas,6991
2019,MORON,Ingresadas,18374
2019,NECOCHEA,Ingresadas,3057
2019,PERGAMINO,Ingresadas,3137
2019,QUILMES,Ingresadas,22671
2019,SAN ISIDRO,Ingresadas,18340
2019,SAN MARTIN,Ingresadas,18453
2019,SAN NICOLAS,Ingresadas,4184
2019,TRENQUE LAUQUEN,Ingresadas,1415
2019,ZARATE-CAMPANA,Ingresadas,4588
2019,AZUL,Sentencia,650
2019,AZUL Sede OLAVARRIA,Sentencia,1138
2019,AZUL Sede TANDIL,Sentencia,524
2019,BAHIA BLANCA,Sentencia,1980
2019,BAHIA BLANCA Sede TRES ARROYOS,Sentencia,325
2019,DOLORES,Sentencia,392
2019,JUNIN,Sentencia,1497
2019,LA MATANZA,Sentencia,1391
2019,LA PLATA,Sentencia,5261
2019,LOMAS DE ZAMORA,Sentencia,3000
2019,LOMAS DE ZAMORA Sede AVELLANEDA,Sentencia,241
2019,LOMAS DE ZAMORA Sede LANUS,Sentencia,280
2019,MAR DEL PLATA,Sentencia,2233
2019,MERCEDES,Sentencia,1290
2019,MORENO-GRAL.RODRIGUEZ,Sentencia,590
2019,MORON,Sentencia,2862
2019,NECOCHEA,Sentencia,200
2019,PERGAMINO,Sentencia,984
2019,QUILMES,Sentencia,3288
2019,SAN ISIDRO,Sentencia,2911
