anio,departamento/sede,tipo,valor
2018,BAHIA BLANCA,Conciliación,901
2018,BAHIA BLANCA Sede TRES ARROYOS,Conciliación,53
2018,DOLORES,Conciliación,1085
2018,JUNIN,Conciliación,675
2018,LA MATANZA,Conciliación,1523
2018,LA PLATA,Conciliación,4362
2018,LOMAS DE ZAMORA,Conciliación,2703
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Conciliación,684
2018,LOMAS DE ZAMORA Sede LANUS,Conciliación,1002
2018,MAR DEL PLATA,Conciliación,2669
2018,MERCEDES,Conciliación,534
2018,MERCEDES Sede BRAGADO,Conciliación,437
2018,MORENO-GRAL.RODRIGUEZ,Conciliación,433
2018,MORON,Conciliación,1556
2018,NECOCHEA,Conciliación,208
2018,PERGAMINO,Conciliación,598
2018,QUILMES,Conciliación,1947
2018,QUILMES Sede FLORENCIO VARELA,Conciliación,259
2018,SAN ISIDRO,Conciliación,4519
2018,SAN ISIDRO Sede PILAR,Conciliación,915
2018,SAN MARTIN,Conciliación,1347
2018,SAN MARTIN Sede SAN MIGUEL,Conciliación,1125
2018,SAN NICOLAS,Conciliación,2301
2018,TRENQUE LAUQUEN,Conciliación,281
2018,ZARATE-CAMPANA Sede CAMPANA,Conciliación,1104
2018,ZARATE-CAMPANA Sede ZARATE,Conciliación,1190
2018,AZUL,Allanamiento,0
2018,AZUL Sede OLAVARRIA,Allanamiento,0
2018,AZUL Sede TANDIL,Allanamiento,2
2018,BAHIA BLANCA,Allanamiento,1
2018,BAHIA BLANCA Sede TRES ARROYOS,Allanamiento,0
2018,DOLORES,Allanamiento,1
2018,JUNIN,Allanamiento,2
2018,LA MATANZA,Allanamiento,2
2018,LA PLATA,Allanamiento,0
2018,LOMAS DE ZAMORA,Allanamiento,6
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Allanamiento,5
2018,LOMAS DE ZAMORA Sede LANUS,Allanamiento,3
2018,MAR DEL PLATA,Allanamiento,1
2018,MERCEDES,Allanamiento,0
2018,MERCEDES Sede BRAGADO,Allanamiento,0
2018,MORENO-GRAL.RODRIGUEZ,Allanamiento,1
2018,MORON,Allanamiento,3
2018,NECOCHEA,Allanamiento,0
2018,PERGAMINO,Allanamiento,0
2018,QUILMES,Allanamiento,7
2018,QUILMES Sede FLORENCIO VARELA,Allanamiento,0
2018,SAN ISIDRO,Allanamiento,0
